method,sample_id,seed,perturbation,n_robots,gamma_r_scale,alpha,lambda_loss,congestion_tolerance,p_new_multiplier,sector_decay,sector_reward,sector_pull,final_net_energy,final_net_energy_per_robot,throughput,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,mean_active_fraction,total_completed_deposit,total_collisions
morris,1,9,sector_pull,64,0.8030324268193135,0.6392128060503867,2.0194783506164984,0.0500568675294382,2.142055971092325,0.01106994704148985,1.9921254960101873,0.11706476768550123,-128454.5,-2007.1015625,0.14533333333333334,0.0022708333333333335,0.032655626562607426,1.1913046384211337,0.5125208333333333,218.0,5677.0
morris,2,7,base,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-444307.5,-6942.3046875,0.05,0.00078125,0.0643165522856162,1.2467088485246565,0.587125,75.0,9989.0
morris,2,8,base,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-447557.75,-6993.08984375,0.04733333333333333,0.0007395833333333333,0.06371796539852563,1.1961955249250917,0.5478020833333334,71.0,9850.0
morris,2,9,base,64,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-431982.5,-6749.7265625,0.051333333333333335,0.0008020833333333334,0.063277509352051,1.2504901518937188,0.551625,77.0,9570.0
morris,2,7,n_robots,16,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-72244.25,-4515.265625,0.023333333333333334,0.0014583333333333334,0.014173378430865032,1.204123610500167,0.5167916666666666,35.0,771.0
morris,2,8,n_robots,16,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-85544.75,-5346.546875,0.019333333333333334,0.0012083333333333334,0.014360309174998571,1.2530012611714305,0.5368333333333334,29.0,800.0
morris,2,9,n_robots,16,1.488960147681885,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-67654.75,-4228.421875,0.024666666666666667,0.0015416666666666667,0.014092181297801341,1.1560684963415584,0.5054583333333333,37.0,754.0
morris,2,7,gamma_r_scale,64,0.9889601476818849,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-438198.5,-6846.8515625,0.04933333333333333,0.0007708333333333333,0.04203968220382408,1.215199210997442,0.5581770833333334,74.0,7276.0
morris,2,8,gamma_r_scale,64,0.9889601476818849,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-481771.75,-7527.68359375,0.03666666666666667,0.0005729166666666667,0.04246209605379313,1.1926774739093016,0.5340104166666667,55.0,7852.0
morris,2,9,gamma_r_scale,64,0.9889601476818849,0.6076543491177995,1.6408481354313782,0.06512856438457278,0.4147825298551876,0.0007136055754719228,1.1510554354748979,0.18648241013011566,-460622.5,-7197.2265625,0.04466666666666667,0.0006979166666666667,0.04274845665148391,1.2595854149916654,0.5686666666666667,67.0,7632.0
